id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,timezone
46645,AR-0494,small_airport,Colonia Sarmiento Airport,-45.582371,-68.999841,877.0,SA,AR,AR-U,Sarmiento,no,,OLN,STO,,,,America/Argentina/Catamarca
301707,ARP,small_airport,Aragip Airport,-9.88333333333,149.483333333,1750.0,OC,PG,PG-MBA,,no,,ARP,AGP,,,,Pacific/Port_Moresby
301732,ASZ,small_airport,Asirim Airport,-6.009722222220001,150.368611111,1050.0,OC,PG,PG-WBK,,no,,ASZ,ASM,,,,Pacific/Port_Moresby
301834,ATN,small_airport,Namatanai Airport,-3.6695,152.438,150.0,OC,PG,PG-NIK,Namatanai,no,AYNX,ATN,NTI,,https://en.wikipedia.org/wiki/Namatanai_Airport,,Pacific/Port_Moresby
301672,ATP,small_airport,Aitape Airport,-3.14361111111,142.346805556,10.0,OC,PG,PG-SAN,Aitape,yes,AYAI,ATP,APE,,https://en.wikipedia.org/wiki/Aitape_Airport,,Pacific/Port_Moresby
313838,AU-0081,small_airport,Lady Elliot Island Airstrip,-24.1129,152.7156,20.0,OC,AU,AU-QLD,Lady Elliot Island,no,,LYT,,,,,Australia/Brisbane
354527,AU-0456,small_airport,Gruyere Airport,-28.034548,123.81506,1542.0,OC,AU,AU-WA,Cosmo Newbery,yes,YGRM,GYZ,,,,,Australia/Perth
354528,AU-0457,small_airport,Karara Airport,-29.217223,116.687154,1011.0,OC,AU,AU-WA,Karara,yes,YKAR,KQR,,,https://en.wikipedia.org/wiki/Karara_Airport,,Australia/Perth
30622,AU-AGW,small_airport,Agnew Airport,-12.1456,142.149369,160.0,OC,AU,AU-QLD,Agnew,no,YAGN,AGW,,,https://en.wikipedia.org/wiki/Agnew_Airport,,Australia/Brisbane
30666,AU-AYD,small_airport,Alroy Downs Airport,-19.2908,136.078995,711.0,OC,AU,AU-NT,Alroy Downs,no,YALD,AYD,,,,,Australia/Darwin
30808,AU-BYX,small_airport,Baniyala Airport,-13.1981,136.227005,20.0,OC,AU,AU-NT,Baniyala,no,YBNI,BYX,,,,,Australia/Darwin
30841,AU-COB,small_airport,Coolibah Airport,-15.548299789428713,130.96200561523438,,OC,AU,AU-NT,Coolibah,no,,COB,,,,,Australia/Darwin
30851,AU-CRJ,small_airport,Coorabie Airport,-31.894399642944336,132.29600524902344,,OC,AU,AU-SA,Coorabie,no,,CRJ,,,,,Australia/Adelaide
30853,AU-CRY,small_airport,Carlton Hill Airport,-15.50189971923828,128.53399658203125,,OC,AU,AU-WA,Carlton Hill,no,,CRY,,,,,Australia/Perth
30855,AU-CSD,small_airport,Cresswell Downs Airport,-17.947999954223633,135.91600036621094,,OC,AU,AU-NT,Cresswell Downs,no,,CSD,,,,,Australia/Darwin
30959,AU-DYM,small_airport,Diamantina Lakes Airport,-23.761699676513672,141.14500427246094,,OC,AU,AU-QLD,Diamantina Lakes,no,,DYM,,,,,Australia/Brisbane
31606,AU-HLV,small_airport,Helenvale Airport,-15.685799598693848,145.21499633789062,,OC,AU,AU-QLD,Helenvale,no,,HLV,,,,,Australia/Brisbane
